job_titles,cluster
Product Marketing Manager,48
Project Controller,48
Senior Product Manager,48
Dealer,11
Personal Shopper,11
Store Shopper,31
Electrical Engineer,48
Fabrication Manager,48
Quantity Surveyor,11
Surveyor,31
Commercial Underwriter,31
Insurance Analyst,11
Licensed Insurance Agent,11
Property Claims Adjuster,11
Healthcare Consultant,11
Medical Administrative Assistant,11
Medical Consultant,11
Medical Office Specialist,31
Patient Account Representative,11
Pharmacy Technician Trainee,29
Eligibility Specialist,11
Eligibility Worker,31
Mail Carrier,48
Professional Organizer,48
Buyer Planner,48
Export Specialist,11
Gas Controller,11
Logistics Assistant,11
Materials Coordinator,11
Procurement Specialist,11
Purchasing Analyst,11
Service Manager,48
Sourcing Specialist,31
Assistant Media Planner,11
Broadcast Producer,11
Communications Associate,11
Digital Media Specialist,11
Video Coordinator,11
Etl Tester,11
Qa Tester,11
Quality Assurance Tester,11
Software Qa Engineer,48
Software Quality Assurance,11
Software Quality Assurance Engineer,11
Software Test Engineer,48
Software Tester,31
Test Analyst,11
Test Engineer,48
Tester,11
Java Consultant,11
CPR Instructor,11
Community Health Educator,11
Curriculum Developer,31
Day Care Teacher,31
Early Childhood Teacher,29
Educational Consultant,11
Flight Instructor,11
Training Consultant,11
3D Animator,11
3D Artist,31
Architectural Draftsman,11
Digital Artist,11
Draftsman,31
Graphic Artist,11
CNA,11
Clinical Pharmacist,11
Compounder,11
Dental Ceramist,11
Dental Lab Technician,29
Dental Technician,29
Dialysis Technician,29
Hemodialysis Technician,29
Hospital Cleaner,11
Hospital Pharmacist,11
Medical Assembler,11
Programmer,48
Senior Programmer,48
Software Programmer,31
Web Programmer,48
Cognos Developer,48
Pricing Analyst,11
Sap Business Analyst,11
Business Data Analyst,11
Senior Design Engineer,48
Ux Designer,48
Hris Analyst,11
Talent Acquisition,11
Talent Acquisition Manager,11
Talent Acquisition Specialist,11
Paralegal,48
Title Examiner,48
Fundraiser,11
Underwriting Assistant,11
Analytical Scientist,11
Biochemist,31
Chemical Engineer,29
Chemical Technician,29
Telemetry Technician,29
Actuarial Analyst,11
Bursar,11
Cash Manager,48
Compensation Manager,48
Cost Accounting Manager,11
Cost Estimator,11
Junior Loan Processor,11
Junior Underwriter,11
Loan Processor,11
Mortgage Processor,48
Mortgage Underwriter,48
Tax Advisor,11
Tax Consultant,11
Tax Specialist,11
Trading Analyst,11
Travel Manager,48
Armed Security Officer,31
Bouncer,11
Clinical Trial Associate,11
Fire Safety Director,31
Fraud Investigator,11
Intelligence Specialist,11
Loss Prevention Officer,31
Police Records Clerk,31
Safety Director,31
Safety Inspector,11
Security Specialist,31
Surveillance Investigator,11
Business Analyst,11
Construction Estimator,11
Crm Administrator,11
Etl Informatica Developer,31
Help Desk Technician,11
It Engineer,48
Linux Engineer,48
Linux System Administrator,11
Network Administrator,48
Network Security Administrator,11
Sap Basis Administrator,11
Security Administrator,11
Security Architect,11
Solution Architect,11
System Administrator,11
Systems Programmer,31
Technical Support Analyst,11
Technical Support Specialist,11
Technology Analyst,11
Vmware Engineer,48
Wireless Network Engineer,31
Mobile Engineer,48
R&D Engineer,48
Research And Development Engineer,48
Wireless Engineer,48
Administrative Manager,11
Credentialing Coordinator,11
Credentialing Specialist,11
Document Controller,11
Enrollment Specialist,11
Facilities Coordinator,11
Fraud Specialist,11
Office Receptionist,31
Program Evaluator,48
Receptionist,11
Referral Coordinator,31
Referral Specialist,31
Security Receptionist,11
Unit Clerk,31
Ward Clerk,31
Cdl Driver,31
Class A Driver,11
Class B CDL,11
Class B Driver,11
Commercial Driver,31
Otr Truck Driver,31
Tractor Trailer Driver,31
Blackjack Dealer,31
Casino Dealer,31
Optician,31
Senior Pharmacy Technician,29
Surgical First Assistant,11
Surgical Physician Assistant,11
Cabin Cleaner,48
Cable Installation Technician,11
Cable Technician,29
Instrumentation Technician,11
Interior Painter,11
Manufacturing Operator,11
Asset Protection Manager,48
Icu Nurse,11
Travel Nurse,31
Car Detailer,31
Package Handler,48
Packager,48
Document Control Manager,48
Escrow Officer,31
Clinical Trial Manager,48
Computer Programmer,11
Information Architect,11
Clinic Manager,48
Tax Auditor,11
Business Associate,11
Travel Rn,11
Business Process Manager,11
Statistician,11
Digital Account Executive,11
Inside Sales Executive,11
Medical Sales Representative,48
Outside Sales Rep,11
Outside Sales Representative,11
Pre Sales Consultant,11
Regional Sales Representative,11
Sales Account Manager,11
Sales Analyst,11
Sales Executive,11
Sales Marketing,48
Sales Support Specialist,11
Agency Nurse,11
Er Nurse,11
Nurse Rn,31
Nursing Assistant,11
Spanish Interpreter,11
Cad Engineer,48
Hardware Engineer,48
Restaurant Host,11
Child Life Specialist,11
Early Intervention Specialist,11
Interior Decorator,31
Criminal Analyst,11
Evidence Technician,29
Loss Prevention Investigator,11
Private Investigator,11
Safety Supervisor,31
Security Coordinator,11
Automotive Service Technician,11
Broadband Technician,29
Computer Systems Analyst,11
Control Engineer,48
Embedded Engineer,48
Help Desk Administrator,11
Help Desk Analyst,11
Integration Developer,48
It Recruiter,31
Junior Web Developer,31
Linux Administrator,11
Middleware Engineer,48
Network Security Analyst,11
Operations Engineer,48
Sas Analyst,11
Sas Programmer,48
Senior Systems Administrator,11
Sharepoint Developer,31
Technical Support,29
Technical Support Agent,11
Technical Support Representative,11
Technology Specialist,11
Virtualization Engineer,48
Wireless Consultant,11
Financial Planning Analyst,11
Kyc Analyst,11
Product Analyst,11
Research Technician,29
Sap Analyst,11
Clinical Data Manager,48
Enterprise Data Architect,11
Junior Data Analyst,11
Oracle Database Administrator,11
Senior Data Analyst,11
Windows Server Administrator,11
Digital Designer,48
Visual Designer,48
Recruiter,48
Recruitment Specialist,11
Senior Recruiter,11
Paralegal Assistant,11
Patent Paralegal,48
Personal Injury Paralegal,11
Trademark Paralegal,48
Healthcare Analyst,11
Medical Administrator,11
Medical Office Administrator,11
Medical Records Clerk,11
Medical Records Technician,29
Pharmacy Clerk,48
Buyer,11
Export Coordinator,11
Inventory Controller,11
Inventory Coordinator,11
Logistics Associate,11
Shipping Supervisor,31
Assistant Account Executive,11
Associate Editor,11
Broadcast Technician,29
Content Editor,11
Transcriptionist,11
Qa Engineer,48
Warehouse Packer,31
Warehouse Picker,31
Warehouse Selector,31
Management Consulting,48
Principal Consultant,11
Senior Consultant,11
Strategy Consultant,11
Assistant Brand Manager,11
Assistant Marketing Manager,48
Associate Brand Manager,48
Associate Marketing Manager,48
Brand Manager,48
Brand Marketing Manager,48
Director Of Digital Marketing,48
Director Of Marketing,48
Marketing,48
Marketing Account Executive,48
Marketing Account Manager,48
Marketing Director,48
Marketing Executive,48
Marketing Manager,48
Senior Marketing Manager,48
Social Media Marketing Manager,48
Agile Project Manager,11
Director Of Product Management,48
Pmo Analyst,11
Product Development Manager,48
Project Analyst,11
Project Control Analyst,11
Project Management Consultant,48
Director Of Ecommerce,31
Ecommerce Manager,48
Merchandise Buyer,11
Autocad Draftsman,11
Concrete Pump Operator,31
Land Surveyor,11
Claims Analyst,11
Claims Investigator,11
Insurance Appraiser,11
Insurance Investigator,11
Insurance Underwriter,48
Band Director,48
Education Specialist,11
Environmental Educator,48
Training Manager,48
Book Reviewer,31
Clinical Research,11
Dietetic Technician,29
Drug Safety Associate,11
Formulation Scientist,11
Healthcare Management,48
Escrow Assistant,11
Biomedical Technician,29
Chemical Lab Technician,29
Laboratory Technician,29
Radiographer,48
Research Analyst,11
Account Analyst,11
Accounting Analyst,11
Accounts Payable Analyst,11
Billing Clerk,11
Billing Coordinator,11
Billing Representative,11
Billing Specialist,11
Billing Supervisor,11
Finance Administrator,11
Finance Assistant,11
Finance Associate,11
Finance Consultant,48
Financial Assistant,11
Financial Associate,11
Financial Coordinator,11
Financial Representative,31
Financial Services Representative,31
Loan Specialist,11
Staff Auditor,11
Tax Manager,48
Valuation Analyst,11
Clinical Coordinator,11
Clinical Support Specialist,11
Certified Welding Inspector,11
Computer Technician,11
General Maintenance Technician,29
General Service Technician,29
Industrial Maintenance Mechanic,11
Industrial Maintenance Technician,29
Service Advisor,11
Cnc Machine Operator,48
Inventory Control Supervisor,31
Manufacturing Associate,11
Operator,31
Order Selector,31
Scanner,11
Pcb Design Engineer,48
Pcb Designer,11
Service Engineer,11
Document Control Specialist,11
Facility Coordinator,11
Implementation Coordinator,11
Medical Office Receptionist,31
Medical Receptionist,48
Regulatory Affairs Specialist,11
Validation Specialist,11
Bus Driver,31
Bus Operator,31
Class A CDL,11
Company Driver,11
Flatbed Driver,31
Local Cdl,11
Local Delivery Driver,31
Local Truck Driver,31
Otr Driver,31
Owner Operator,31
Parts Delivery Driver,31
Pizza Delivery Driver,31
School Bus Driver,31
Tanker Driver,31
Truck Driver,31
Trucker,31
Casino Manager,48
Dietary Manager,48
Food Production Manager,48
Gate Agent,48
Hostess,11
Hotel Front Desk,48
Hotel Receptionist,11
Pediatric Oncology Nurse,11
Chief Investment Officer,31
Nurse Practitioner,11
Audio Technician,11
Devops Engineer,48
Tax Director,31
Clinical Nurse Manager,48
Disability Case Manager,48
Insurance Sales Manager,48
Medical Practice Manager,48
Medical Records Specialist,11
Content Developer,31
Corporate Trainer,48
Customer Account Manager,11
Division Order Analyst,11
Inventory Analyst,11
Lot Attendant,11
Operation Specialist,11
Peoplesoft Consultant,11
Process Analyst,11
Process Improvement Engineer,11
Procurement Analyst,11
Social Media Strategist,11
Strategic Sourcing Manager,48
Advertising Sales Representative,11
Business Development Representative,11
Field Sales Representative,11
Field Service Representative,31
Group Sales Manager,48
Independent Sales Representative,11
Medical Sales,11
Outside Sales,11
Regional Sales Executive,48
Retail Sales Representative,11
Route Sales Representative,11
Sales Administrator,11
Sales Advisor,11
Sales Representative,11
Assistant Nurse Manager,11
Certified Nurse Assistant,11
Graduate Nurse,11
Neonatal Nurse,11
Nurse Assistant,11
Pediatric Nurse,11
Field Service Technician,29
Regulatory Affairs Associate,11
Aeronautical Engineer,48
Agricultural Engineer,48
Antenna Engineer,48
Avionics Engineer,11
Cfd Engineer,48
Electrical Design Engineer,48
Electrical Designer,48
Electronics Engineer,48
Fea Engineer,48
Hvac Design Engineer,48
Lobby Attendant,11
Night Auditor,11
Reservation Agent,11
Restaurant Operations Manager,48
Restaurant Server,11
Room Attendant,11
Room Service Server,31
Travel Agent,11
Travel Counselor,31
Travel Specialist,29
Decorator,31
Youth Development Specialist,31
Armed Guard,11
Armed Security,11
Bodyguard,48
Crime Analyst,11
Intelligence Officer,48
Loss Prevention,11
Personnel Security Specialist,11
Privacy Officer,31
Public Affairs Specialist,11
Safety Assistant,11
Bi Analyst,11
Citrix Engineer,48
Desktop Support,31
Desktop Support Specialist,31
Help Desk Specialist,31
It Architect,11
It Support,11
It Support Analyst,11
Junior Systems Administrator,11
Network Architect,11
Network Specialist,31
Network Support Technician,31
Performance Tester,31
Sap Administrator,11
Sap Security Consultant,11
Senior Network Engineer,48
Service Desk Analyst,11
Sharepoint Consultant,11
Solutions Architect,11
Systems Architect,11
Tech Support,11
Technology Coordinator,11
Telecommunications Analyst,11
Unloader,31
Warehouse Operator,31
Business Consultant,11
Process Improvement Specialist,11
Professional Services Consultant,11
Solutions Consultant,11
Strategic Consultant,11
Call Center,11
Circulation Manager,48
Market Analyst,11
Market Research Analyst,11
Market Researcher,48
Marketing Analyst,48
Marketing Research Analyst,11
Media Buyer,48
Unit Coordinator,11
Architectural Project Manager,48
Assistant Product Manager,11
Associate Project Manager,11
It Project Coordinator,11
Junior Project Manager,48
Product Developer,31
Project Administrator,11
Project Coordinator,11
Project Director,31
Project Management Assistant,11
Project Officer,31
Project Scheduler,11
Project Supervisor,31
Courtesy Clerk,31
Deli Clerk,31
Floor Supervisor,31
Merchandise Coordinator,11
Autocad Designer,48
Civil Drafter,31
Dozer Operator,31
Electrical Project Manager,48
Estimator,11
Heavy Equipment Mechanic,11
Independent Contractor,11
Installation Coordinator,11
Pipeline Controller,11
Shop Foreman,11
Claim Analyst,11
Claim Examiner,48
Claims,11
Claims Adjuster,11
Claims Supervisor,31
Insurance Clerk,11
Netsuite Consultant,11
Php Developer,31
Php Web Developer,31
Sap Abap Developer,31
Software Trainer,31
Bi Developer,31
Business Developer,31
Business Objects Developer,11
Cost Analyst,11
Erp Analyst,11
Field Investigator,11
Fraud Analyst,11
Junior Financial Analyst,11
Loss Prevention Detective,11
Patent Analyst,11
Planning Analyst,11
Clinical Data Associate,11
Clinical Data Coordinator,11
Cloud Consultant,11
Data Center Manager,48
Data Specialist,11
Database Manager,48
Gis Specialist,11
Marketing Data Analyst,11
Oracle Consultant,11
Server Engineer,48
Ui Designer,48
User Interface Designer,48
Web Designer,11
Compensation Specialist,11
Hr Analyst,11
Payroll Administrator,11
Placement Coordinator,11
Public Relations,11
Recruiting Assistant,11
Recruiting Coordinator,48
Recruitment Manager,48
Sales Recruiter,31
Staffing Consultant,11
Staffing Coordinator,11
Staffing Manager,48
Staffing Specialist,11
Technology Trainer,29
Workforce Management Analyst,48
Assistant District Attorney,11
Associate Attorney,11
Contract Attorney,11
Defense Attorney,11
Immigration Attorney,11
Immigration Paralegal,48
Legal Administrative Assistant,11
Legal Assistant,11
Legal Secretary,48
Litigation Associate,11
Litigation Attorney,11
Litigation Legal Assistant,11
Litigation Paralegal,48
Real Estate Paralegal,48
Senior Paralegal,31
Community Outreach Coordinator,11
Community Outreach Specialist,11
Fundraising Manager,48
Outreach Coordinator,31
Volunteer,11
Event Producer,11
Sports Information Director,31
Mechanical Designer,29
Mechatronics Engineer,11
Noc Engineer,48
Office Engineer,48
Operating Engineer,48
Process Control Engineer,48
Procurement Engineer,48
Project Engineer,48
Resident Engineer,11
Rf Design Engineer,48
Rf Engineer,48
Site Engineer,48
Storage Engineer,48
Supplier Quality Engineer,11
Support Engineer,48
Telecom Engineer,48
Voip Engineer,48
Welding,11
Business Coordinator,11
Documentation Specialist,11
Facilities Administrator,11
Front Office Coordinator,31
Incident Manager,48
Maintenance Director,48
Production Clerk,11
Records Manager,48
Scheduling Coordinator,11
Technical Assistant,11
Virtual Assistant,11
Box Truck Driver,31
Concrete Truck Driver,31
Courier Driver,31
Driver,11
Dump Truck Driver,31
Freight Agent,48
Fuel Truck Driver,31
Garbage Truck Driver,31
Heavy Truck Driver,31
Non Cdl Driver,31
Professional Driver,31
Route Driver,31
Shuttle Bus Driver,31
Shuttle Driver,31
Tow Truck Driver,31
Caterer,31
Catering Manager,48
Food Service Director,31
Front Desk Associate,11
Guest Services,11
Hotel Night Auditor,11
Lab Aide,11
Risk Management Specialist,48
Lease Administrator,11
Loss Mitigation Specialist,11
Agronomist,11
Associate Scientist,11
Biological Scientist,11
Biological Technician,29
Biostatistician,11
Chemical Operator,31
Computational Biologist,11
Environmental Chemist,11
Environmental Scientist,11
Lab Technologist,11
Laboratory Analyst,11
Radiology Technician,11
Research Associate,11
Accounting Auditor,11
Accounts Payable Specialist,11
Accounts Receivable Specialist,11
Audit Associate,11
Billing Analyst,11
Budget Manager,48
Budget Officer,31
CPA,11
Certified Public Accountant,11
Chartered Accountant,11
Collection Manager,48
Collection Supervisor,11
Credit Counselor,11
Financial Counselor,11
Financial Reporting Manager,48
Investment Analyst,11
Loan Analyst,11
Portfolio Analyst,11
Treasury Analyst,11
Underwriter,48
Case Manager,48
Clinical Supervisor,11
Health Information Manager,48
Healthcare Recruiter,31
Intake Specialist,11
Medical Case Manager,48
Medical Information Specialist,11
Medical Manager,48
Medical Scheduler,29
Patient Financial Counselor,11
Patient Registrar,48
Patient Service Representative,31
Patient Service Specialist,11
Patient Services Representative,31
Screener,31
Criminal Investigator,11
Food Inspector,11
Game Warden,31
Regulatory Specialist,11
Cargo Agent,48
Inventory Planner,11
Logistics Administrator,11
Logistics Analyst,11
Logistics Planner,11
Purchasing Specialist,11
Senior Buyer,11
Supply Chain Planner,11
Certified Personal Trainer,11
Anchor,11
Broadcast Journalist,11
Communications,11
Communications Officer,31
Content Specialist,11
Creative Producer,11
Proofreader,48
Sound Technician,29
Technical Designer,29
